Gercek_Churn,Tahmin_Churn,Churn_Olasiligi
0,0,0.01802218235295677
0,1,0.5918320676536666
0,0,0.004891534855152422
1,0,0.20142434332579193
0,0,0.10376231801255086
1,0,0.4705209394447305
0,0,0.026389628757166963
0,0,0.16510364269377917
1,1,0.6764294897619387
0,0,0.01571736649031862
0,1,0.7071212370474816
0,0,0.1453476119283298
0,1,0.6515718889864727
0,0,0.06139128812845443
1,0,0.20873630803219598
1,1,0.7753956171504323
1,1,0.6086980691805625
1,1,0.556728589746654
0,0,0.22686911552504974
0,0,0.002911758194496356
0,0,0.0023233807505262933
0,0,0.45026491561410364
0,0,0.4191307144922416
1,0,0.16802392039183467
0,0,0.23054075884663483
1,0,0.41935289034308204
0,0,0.2110991389977749
0,0,0.011900362765854468
0,0,0.024238511045334005
1,0,0.30902344028438233
0,0,0.0644553200394058
1,1,0.6968835751924961
0,0,0.2596786408083709
0,0,0.021680816228906507
1,1,0.6685999189218229
0,1,0.6153466910707222
0,0,0.1576094422943077
0,0,0.02403036254590498
1,0,0.20577276715599305
0,0,0.26945523450159314
0,0,0.03637994175779734
0,0,0.006156630508544054
0,0,0.06806082416371197
0,0,0.04947978422188396
0,0,0.004958097508764754
0,0,0.16884578345942175
0,0,0.03362707642636969
0,0,0.07856336826665022
0,0,0.008869446173930068
0,0,0.08107136125077105
0,0,0.3804131833920399
0,0,0.02306471000124257
0,0,0.3814983503756234
1,1,0.6280558580191571
0,0,0.055911024927188156
0,0,0.03434989855924469
0,0,0.3277570536098477
0,0,0.472992842522661
0,0,0.004436658438424319
1,1,0.7208509038278963
0,0,0.029537721000438808
0,0,0.09165941086802751
0,1,0.6095012009413591
0,0,0.020046951753411053
0,0,0.009140875153680696
0,0,0.15474182416998036
0,0,0.005806958299352003
0,0,0.10036391229321172
0,0,0.0020193565522710274
0,0,0.1528741270218635
0,0,0.0021903711556341483
1,1,0.6933800858746263
0,0,0.009128836900750031
1,0,0.3768552681028151
0,0,0.0032877438074298336
1,1,0.5874159049601575
0,0,0.463858029410692
0,0,0.032490103703243144
0,0,0.009995380757203364
0,0,0.15372993179108516
0,0,0.020684583954689553
0,0,0.05450597040042045
0,0,0.019829637732983667
1,1,0.671431252080919
0,0,0.023513000071638757
0,0,0.0014832694476498048
0,0,0.33533792162207376
1,0,0.17269897936091547
0,1,0.698530921312829
0,0,0.4267791551724173
0,0,0.07329403996688512
1,1,0.705699793304879
0,0,0.03391750330192362
0,0,0.3551442046912052
0,0,0.027414882704402118
0,0,0.09047610108352623
0,0,0.010499648425167893
0,0,0.39664892611461744
0,0,0.41061950182997975
0,0,0.05440545090168027
0,0,0.474000379562143
0,0,0.44530461977586866
0,0,0.21695672490690354
0,0,0.272800973137597
1,0,0.049123892777224065
0,0,0.4121935935531294
1,1,0.5930697279031
0,1,0.5574708354464283
0,1,0.6959998200006093
1,1,0.558220173616162
0,0,0.2629615327496315
0,0,0.49009900708610676
0,0,0.007313516875514624
0,0,0.02567279309057699
0,0,0.034632880173409195
1,1,0.7790639463794847
0,0,0.4554228922765245
0,0,0.002557316129699229
0,0,0.018964360985243695
1,0,0.4399209836609055
0,0,0.029113601129008175
0,0,0.027249770166776318
0,0,0.09068705316261119
1,0,0.1790734644500698
1,1,0.5215318806305282
0,0,0.3188339249210011
1,1,0.7646821866899247
0,0,0.006900111209778739
0,0,0.0035097784668603315
0,0,0.044965119240812146
0,0,0.01242452257223068
1,1,0.6676425313762622
0,0,0.006518366609111453
1,0,0.4639525336069057
0,0,0.013799790997361793
0,0,0.057481580635913
1,1,0.6847511425833477
0,1,0.7359582488271633
0,0,0.3224662195774434
0,0,0.16994328163225267
0,0,0.0026939890229460434
0,0,0.09955227029826633
0,0,0.2985874031619012
0,0,0.01286583901545547
1,0,0.2859933569820056
0,1,0.5388107663102293
0,0,0.05894688277465302
0,1,0.6905170405868825
0,0,0.007513950908903248
0,0,0.14101117205567595
0,0,0.013887019018150553
1,0,0.25185947248879603
0,0,0.33798011540587053
0,0,0.01053095812570338
1,1,0.546902515465371
0,0,0.03476866976547615
1,1,0.624451679478632
0,0,0.016598395249675
0,0,0.019683300133142272
0,0,0.07066545567002532
0,0,0.4493075819267398
0,0,0.013163352157508329
0,0,0.026538649620458883
1,0,0.28638398753574534
0,0,0.11408300631572953
0,0,0.22862780275160668
0,0,0.28921508627704057
0,0,0.005217521833027725
0,0,0.09332778008179153
0,0,0.038893003172220005
0,0,0.18573084017309538
0,0,0.012489712227885441
0,1,0.5548884779112221
0,0,0.07114549727647897
0,0,0.46273954940780576
1,1,0.6621493675821335
0,0,0.19237795134096658
1,1,0.6751612124136238
0,0,0.05590847560616547
0,0,0.0055101457691269905
0,0,0.00792853745826743
1,0,0.46194481032951057
1,0,0.39417009765884176
1,0,0.4756585640378892
0,0,0.002740062242370316
1,1,0.6374344659785635
1,1,0.6736907820134872
0,0,0.004866327233950206
0,0,0.03955346442491246
0,0,0.48656166517366817
0,0,0.18397324285820857
0,0,0.020795090691285354
0,0,0.022752078567094592
0,1,0.5712499070158935
1,1,0.7345622646406367
0,1,0.5392346625671874
0,0,0.1174744212797803
0,0,0.027239823608891493
0,0,0.017590755571747666
1,1,0.5370333186656404
0,0,0.01766896167765739
0,0,0.2358707972012144
0,0,0.13086530351406236
0,0,0.0908588865272682
0,0,0.4894353227803339
0,1,0.666589963016346
0,0,0.3667561656647846
1,0,0.35156160506408207
1,1,0.5075251596365135
0,0,0.1950283087230157
1,1,0.6445455598415075
0,1,0.845754403164979
1,0,0.39702829785284993
0,0,0.4342065165819517
1,1,0.700712657785833
0,0,0.33021665919361004
0,0,0.03279506788935159
0,0,0.27793289671664095
1,1,0.5414206330096628
0,0,0.039951450997761574
0,0,0.2865838878605365
1,1,0.5857467863905952
1,1,0.6197565588834546
0,0,0.19761862975027747
0,0,0.03226109635672707
0,0,0.307542104459735
0,0,0.43672377864756984
1,0,0.3004932452820558
0,0,0.23672877803327966
0,0,0.20774517992970767
1,0,0.20856139383912897
0,0,0.031161188584468376
0,0,0.025169216725400508
0,1,0.5478823554738441
0,0,0.4559291190098986
0,0,0.012993741490826959
0,0,0.010346566879391157
0,0,0.015283813136984712
0,0,0.017508894992634128
0,0,0.00625130674873411
0,0,0.04228105004661286
1,0,0.23924385236557386
0,0,0.3397385559052433
1,0,0.30131468372103193
0,0,0.013541667010513467
0,0,0.027875393483111365
0,0,0.001985069500044156
1,0,0.424231327188302
1,1,0.661131324617779
0,0,0.21213382772343906
0,0,0.02885902197787854
0,0,0.164784201804578
0,1,0.5162794141730023
0,0,0.010759341157488585
0,0,0.04075844421359252
1,1,0.6538376813736229
0,0,0.0033949070494683044
1,0,0.2907548023494275
0,0,0.3007264498000405
1,1,0.7393250381379615
0,0,0.0026306048041825373
1,1,0.7091247806824372
1,0,0.44646897208251074
0,0,0.15882565540522334
0,0,0.013803195257982213
1,1,0.5029419916424671
0,0,0.38382809850140387
0,0,0.05905884439469444
1,0,0.38385904817599364
0,0,0.3802090608578228
0,1,0.6549764875580611
0,0,0.4522975923575839
0,0,0.0142494952798203
1,0,0.2884121531520861
0,0,0.04749304523350917
1,0,0.35174478359281125
1,1,0.7479206572766144
0,0,0.0332983431849263
0,0,0.028440419115924192
0,0,0.20153386474018783
1,0,0.13891314669346624
1,1,0.5870915898791492
0,0,0.1274134383625151
0,0,0.04911031807769173
1,0,0.3071621618329674
0,0,0.14425604582250914
1,0,0.4970371220113186
0,0,0.03894612274905853
0,0,0.037797205600513056
0,0,0.24273205214487448
0,0,0.23743056019005218
0,0,0.06800753229480691
0,0,0.23172863614258493
1,0,0.053560559149425764
1,0,0.35688316822448
0,0,0.08546170310711793
0,0,0.012650211007899845
0,0,0.33839038536788646
0,0,0.017823064020505673
0,0,0.03425162915166225
1,0,0.09959205043107329
0,0,0.38608873012725603
0,0,0.007014867745702891
0,0,0.17020499194219543
1,1,0.6955369786668
0,0,0.39744412517257915
0,0,0.014848769332097417
1,0,0.43194063972055174
0,0,0.017122319335022586
0,0,0.007816344575571723
1,1,0.5660684394351557
0,0,0.28415951485185803
